Question,Equation,Answer,Numbers
L = number0 . Y = number1 . T = number2 . N = number3 . number4 + T + L - R = Y . R ?,- + + number4 number2 number0 number1,52,210 1949 18 457 1773
I = number0 . G = number1 . X = number2 . U / G - number3 - I = X . U ?,* + + number2 number0 number3 number1,274,25 2 7.0 105
H = number0 . J = number1 . T = number2 . U = number3 . L = number4 . ( K + number5 + L ) / T = J . K ?,- - * number1 number2 number4 number5,246,601 489.0 3 492 577 644
P = number0 . I = number1 . T = number2 . X = number3 . K = number4 . T - number5 + P - M = X . M ?,- + - number2 number5 number0 number3,78,21 831 391 260 137 74
Q = number0 . O = number1 . K = number2 . T = number3 . F - Q + O = number4 . F ?,+ - number4 number1 number0,828,88 33 212 901 773
N = number0 . S = number1 . X = number2 . B / S / number3 / X = N . B ?,* * * number0 number2 number3 number1,390,5.0 13 2 3
I = number0 . B = number1 . O = number2 . N = number3 . ( I + O ) / B * N = D . D ?,* / + number0 number2 number1 number3,390.0,70 43 145 78
I = number0 . Q = number1 . C = number2 . Q - I = P . P ?,- number1 number0,20,2 22 345
J = number0 . L = number1 . D = number2 . ( J - D - number3 ) / I = L . I ?,/ - - number0 number2 number3 number1,-1,27 59.0 78 8
Z = number0 . D = number1 . N = number2 . U = number3 . T = number4 . T - U - C = D . C ?,- - number4 number3 number1,79,238 163 431 25 267
H = number0 . K = number1 . D = number2 . O = number3 . Y = number4 . C = number5 . ( K - Y + C ) / M = D . M ?,/ + - number1 number4 number5 number2,20,64 20 2.0 113 30 50
P = number0 . N = number1 . T = number2 . Z = number3 . U = number4 . Q = number5 . Q / Z * H + U = T . H ?,/ - number2 number4 / number5 number3,28,469 472 2384.0 3 340 219
T = number0 . J = number1 . N = number2 . I = number3 . I * N * K = T . K ?,/ number0 * number3 number2,17,9537 360 33 17
R = number0 . Z = number1 . X = number2 . N = number3 . O = number4 . number5 - N - S = X . S ?,- - number5 number3 number2,96,669 680 1453 16 253 1565
N = number0 . D = number1 . X = number2 . I * N * X / D = number3 . I ?,/ / * number3 number1 number2 number0,83,54 3 3 4482.0
Y = number0 . U = number1 . J = number2 . C = number3 . R = number4 . J + U + Z + Y = C . Z ?,- - number3 number0 + number2 number1,139,296 560 538 1533 256
D = number0 . K = number1 . X = number2 . ( K - number3 + D ) / Q = X . Q ?,/ + - number1 number3 number0 number2,73,1024 83 14.0 85
G = number0 . O = number1 . W = number2 . B = number3 . ( V * O + number4 ) / B = number5 . V ?,/ - * number5 number3 number4 number1,66,702 61 255 60 174 70.0
V = number0 . P = number1 . F = number2 . G = number3 . P - S + F + G = V . S ?,- number1 - - number0 number3 number2,322,1334 1043 261 352
U = number0 . D = number1 . J = number2 . V = number3 . K = number4 . ( number5 + S ) * U + J = D . S ?,- / - number1 number2 number0 number5,162,9 2775 354 692 49 107
P = number0 . H = number1 . P / Z - H = number2 . Z ?,/ number0 + number2 number1,3,1902 247 387.0
U = number0 . G = number1 . V = number2 . U / C - G = V . C ?,/ number0 + number2 number1,2,82 10 31.0
J = number0 . R = number1 . P = number2 . O = number3 . I = number4 . S = number5 . P / S + U = I . U ?,- number4 / number2 number5,308,881 11 194 724 405.0 2
L = number0 . K = number1 . Z = number2 . R = number3 . R * Z - number4 + L = N . N ?,+ - * number3 number2 number4 number0,707,185 943 15 41 93
U = number0 . J = number1 . I = number2 . Y = number3 . ( J * I + R ) * U = Y . R ?,- / number3 number0 * number1 number2,10,2 347 5 3490
E = number0 . I = number1 . K = number2 . T = number3 . J = number4 . T / J + K + number5 = Q . Q ?,+ + / number3 number4 number2 number5,954.0,859 688 319 90 18 630
I = number0 . W = number1 . Q = number2 . H = number3 . V = number4 . W / L - number5 + I = H . L ?,/ number1 + - number3 number0 number5,91,173 182 116 130.0 116 45
M = number0 . K = number1 . O = number2 . N = number3 . V = number4 . ( O / number5 + N ) * K = H . H ?,* + / number2 number5 number3 number1,5738.0,747 38 78 125 568 3
P = number0 . T = number1 . X = number2 . E = number3 . W = number4 . O = number5 . D * O / W = E . D ?,/ * number3 number4 number5,14,440 876 614 2.0 91 13
L = number0 . X = number1 . E = number2 . L - D + E = X . D ?,- number0 - number1 number2,47,132 172 87
K = number0 . V = number1 . L = number2 . I = number3 . E = number4 . D = number5 . I / L + E = T . T ?,+ / number3 number2 number4,5.0,177 930 101 303 2 471
P = number0 . R = number1 . V = number2 . Q = number3 . L = number4 . P / Q * V / L = C . C ?,/ * / number0 number3 number2 number4,2.0,6 574 7 3 7
I = number0 . N = number1 . G = number2 . H = number3 . K = number4 . L = number5 . ( K - L - I ) * E = G . E ?,/ number2 - - number4 number5 number0,15,2 896 1185 365 90 9
I = number0 . B = number1 . L = number2 . Y * L - I = B . Y ?,/ + number1 number0 number2,64,48 2960 47
I = number0 . U = number1 . W = number2 . M = number3 . L = number4 . ( L - Z ) * M - I = number5 . Z ?,- number4 / + number5 number0 number3,94,59 595 716 24 513 9997
T = number0 . C = number1 . L = number2 . Z = number3 . M = number4 . I = number5 . T + Q - L = Z . Q ?,- + number3 number2 number0,72,225 26 48 249 400 668
S = number0 . Q = number1 . X = number2 . W = number3 . ( U + number4 + S ) * X = number5 . U ?,- - / number5 number2 number0 number4,65,58 496 29 327 76 5771
R = number0 . J = number1 . B = number2 . L = number3 . E = number4 . U = number5 . ( C + R ) / L = J . C ?,- * number1 number3 number0,170,64 117.0 789 2 424 971
O = number0 . U = number1 . C = number2 . Y = number3 . S = number4 . number5 / F * O - C = S . F ?,/ number5 / + number4 number2 number0,432,43 666 49 911 37.0 864
Y = number0 . L = number1 . P = number2 . W = number3 . N = number4 . L / P + R - N = W . R ?,- + number3 number4 / number1 number2,50,272 976 2 530.0 8
L = number0 . number1 * L + number2 = K . K ?,+ * number1 number0 number2,3477,72 23 1821
O = number0 . Y = number1 . H = number2 . K * O + Y = H . K ?,/ - number2 number1 number0,5,17 860 945
F = number0 . E = number1 . M = number2 . L = number3 . V = number4 . ( V / F - E ) / T = number5 . T ?,/ - / number4 number0 number1 number5,113,2 322 342 222 1096 2.0
F = number0 . H = number1 . P = number2 . Y = number3 . ( V * number4 - P ) * F = H . V ?,/ + / number1 number0 number2 number4,470,8 7304 27 741 2
R = number0 . N = number1 . H = number2 . ( H + N ) / number3 * R = P . P ?,* / + number2 number1 number3 number0,80.0,16 66 79 29
V = number0 . E = number1 . U = number2 . X = number3 . Q = number4 . ( Q + X ) * C = V . C ?,/ number0 + number4 number3,69,5451 721 311 14 65
M = number0 . Z = number1 . Z / K / M / number2 = number3 . K ?,/ number1 * * number3 number2 number0,25,5 1250 2 5.0
Q = number0 . N = number1 . X = number2 . Q / D + N = X . D ?,/ number0 - number2 number1,27,1971 84 157.0
U = number0 . D = number1 . Z = number2 . B = number3 . T / number4 - B = number5 . T ?,* + number5 number3 number4,1133,763 490 839 2 103 9.0
W = number0 . D = number1 . M = number2 . M + D - number3 = F . F ?,- + number2 number1 number3,1101,69 62 1112 73
K = number0 . S = number1 . X = number2 . B = number3 . G * number4 / K + S = B . G ?,/ * - number3 number1 number0 number4,30,485 2 185 8.0 97
C = number0 . U = number1 . U - C + N = number2 . N ?,- number2 - number1 number0,87,47 132 172
U = number0 . F = number1 . Q = number2 . P = number3 . Z = number4 . M = number5 . Z / F / L = U . L ?,/ / number4 number1 number0,7,2.0 2 869 974 28 108
H = number0 . R = number1 . X = number2 . Y = number3 . F + X - R + number4 = H . F ?,- + - number0 number4 number1 number2,33,950 24 2 176 939
W = number0 . G = number1 . X = number2 . N = number3 . X / N * G + I = W . I ?,- number0 * / number2 number3 number1,1148,1217.0 3 69 3
Y = number0 . O = number1 . J = number2 . S * number3 / number4 + O = Y . S ?,/ * - number0 number1 number4 number3,245,96.0 61 498 49 343
L = number0 . G = number1 . Q = number2 . E = number3 . K = number4 . W * E - Q - G = L . W ?,/ + + number0 number1 number2 number3,39,2889 18 57 76 597
V = number0 . J = number1 . N = number2 . number3 / N * I = J . I ?,/ number1 / number3 number2,88,465 880.0 9 90
H = number0 . O = number1 . X = number2 . J = number3 . N = number4 . N - O + X - number5 = L . L ?,- + - number4 number1 number2 number5,860,843 16 26 569 869 19
W = number0 . B = number1 . O = number2 . H / O - W = B . H ?,* + number1 number0 number2,249,8 75.0 3
N = number0 . L = number1 . ( F - number2 + L ) / N = number3 . F ?,+ - * number3 number0 number1 number2,71,53 94 6 3.0
I = number0 . Z = number1 . E = number2 . ( I / number3 - F ) / E = Z . F ?,- / number0 number3 * number1 number2,63,162 15.0 -4 54
L = number0 . R = number1 . X = number2 . T = number3 . V = number4 . K = number5 . L + T - I - R = X . I ?,- + number0 number3 + number2 number1,137,1030 198 2617 1922 99 751
R = number0 . S = number1 . U = number2 . G = number3 . S * H * G = R . H ?,/ / number0 number3 number1,89,2492 7 913 4
S = number0 . B = number1 . K = number2 . R = number3 . D = number4 . ( S - I + R ) / B = K . I ?,- number0 - * number2 number1 number3,1638,1961 170 2.0 17 707
C = number0 . P = number1 . I = number2 . M = number3 . Y = number4 . G - number5 + I - P = C . G ?,+ - + number0 number1 number2 number5,905,476 620 356 803 501 165
S = number0 . E = number1 . I = number2 . D = number3 . T = number4 . U = number5 . I * U - S + D = N . N ?,+ - * number2 number5 number0 number3,4040,72 442 56 1256 40 51
B = number0 . U = number1 . Q = number2 . ( number3 + P ) / B / Q = number4 . P ?,- * * number4 number2 number0 number3,273,11 648 11 332 5.0
S = number0 . U = number1 . U + S = N . N ?,+ number1 number0,1923,159 1764
T = number0 . Z = number1 . ( Z - E ) * T = number2 . E ?,- number1 / number2 number0,82,7 1496 9898
T = number0 . C = number1 . N = number2 . X = number3 . ( X - H ) * C - N = number4 . H ?,- number3 / + number4 number2 number1,28,244 96 88 76 4520
V = number0 . K = number1 . C = number2 . R * C - number3 = number4 . R ?,/ + number4 number3 number2,38,975 926 98 86 3638
Q = number0 . V = number1 . R = number2 . I = number3 . T = number4 . U = number5 . Y * R - I = U . Y ?,/ + number5 number3 number2,354,503 683 14 62 342 4894
W = number0 . C = number1 . ( F / number2 - number3 ) * W = C . F ?,* + / number1 number0 number3 number2,72,13 442.0 2 2
L = number0 . F = number1 . F * O + L = number2 . O ?,/ - number2 number0 number1,2,6 1973 3952
M = number0 . R = number1 . Q = number2 . H = number3 . L = number4 . ( H + R ) * Q - V = L . V ?,- * + number3 number1 number2 number4,31,96 40 36 199 8573
I = number0 . N = number1 . R = number2 . J = number3 . S = number4 . J * S / B + R = I . B ?,/ * number3 number4 - number0 number2,6,149.0 748 11 46 18
N = number0 . S = number1 . V = number2 . Q = number3 . J = number4 . K = number5 . ( Q - K ) * U = S . U ?,/ number1 - number3 number5,2,11 542 450 288 479 17
F = number0 . B = number1 . C = number2 . Q = number3 . E = number4 . L * B - E - F = Q . L ?,/ + + number3 number0 number4 number1,32,88 28 733 737 71
G = number0 . F = number1 . D = number2 . E = number3 . G / X * number4 * number5 = F . X ?,/ number0 / / number1 number5 number4,46,138 522.0 838 162 6 29
X = number0 . W = number1 . F = number2 . G = number3 . ( W + S ) * X / F = G . S ?,- / * number3 number2 number0 number1,79,41 349 214 82.0
B = number0 . K = number1 . X = number2 . Q = number3 . B + number4 = O . O ?,+ number0 number4,267,240 543 897 10 27
K = number0 . R = number1 . F = number2 . number3 / number4 / K * F = O . O ?,* / / number3 number4 number0 number2,164.0,12 665 82 96 4
C = number0 . W = number1 . Z = number2 . Q = number3 . B + C = W . B ?,- number1 number0,1023,32 1055 638 595
G = number0 . T = number1 . C = number2 . V = number3 . ( C + G ) * S - T = V . S ?,/ + number3 number1 + number2 number0,3,196 15 253 1332
O = number0 . W = number1 . H = number2 . L = number3 . H + E = W . E ?,- number1 number2,1829,716 1921 92 862
D = number0 . C = number1 . H = number2 . ( M - number3 ) * H = C . M ?,+ / number1 number2 number3,151,711 7137 61 34
T = number0 . X = number1 . W = number2 . V = number3 . ( T + X - O ) * W = V . O ?,- + number0 number1 / number3 number2,14,97 452 17 9095
Z = number0 . C = number1 . F = number2 . ( Z / number3 - number4 ) / F = S . S ?,/ - / number0 number3 number4 number2,3.0,18 272 -15 6 48
F = number0 . R = number1 . J = number2 . N = number3 . J - N - number4 + F = E . E ?,+ - - number2 number3 number4 number0,1309,70 886 1346 42 65
D = number0 . Q = number1 . R = number2 . ( D / Q - number3 ) / R = S . S ?,/ - / number0 number1 number3 number2,15.0,162 54 -4 63
S = number0 . R = number1 . I = number2 . L = number3 . K = number4 . ( I + Y + K ) * number5 = L . Y ?,- - / number3 number5 number4 number2,619,637 480 42 3308 993 2
N = number0 . R = number1 . T = number2 . G = number3 . ( L * G - T ) / N = R . L ?,/ + * number1 number0 number2 number3,327,5 5874.0 60 90
E = number0 . K = number1 . V = number2 . J = number3 . I - V + K - J = E . I ?,+ - + number0 number3 number1 number2,642,564 70 59 89
C = number0 . E = number1 . U = number2 . Q = number3 . X = number4 . V - C + E = U . V ?,+ - number2 number1 number0,1724,65 47 1706 586 526
number0 - X = number1 . X ?,- number0 number1,39,86 47
X = number0 . H = number1 . C = number2 . H / X = R . R ?,/ number1 number0,607.0,3 1821 31
B = number0 . O = number1 . N = number2 . B - J - O = N . J ?,- number0 + number2 number1,14,44 14 16
D = number0 . Y = number1 . X = number2 . R = number3 . R + K = D . K ?,- number0 number3,164,391 589 290 227
L = number0 . N = number1 . T = number2 . Q = number3 . W = number4 . O = number5 . ( N / T + X ) * O = W . X ?,- / number4 number5 / number1 number2,1830,736 51 3 487 3694.0 2
U = number0 . E = number1 . M = number2 . C = number3 . Y = number4 . Q * C / number5 = E . Q ?,/ * number1 number5 number3,98,250 94.0 846 47 844 49
B = number0 . P = number1 . U = number2 . J = number3 . M = number4 . U + D = number5 . D ?,- number5 number2,267,343 945 53 948 691 320
N = number0 . P = number1 . H = number2 . O = number3 . C = number4 . X = number5 . H - F = C . F ?,- number2 number4,64,32 662 372 350 308 275
S = number0 . V = number1 . K = number2 . ( X + V ) / K = S . X ?,- * number0 number2 number1,1882,23.0 1775 159
C = number0 . N = number1 . J = number2 . I = number3 . Z = number4 . P = number5 . J / C * Q = N . Q ?,/ number1 / number2 number0,23,10 2461.0 1070 561 160 162
C = number0 . T = number1 . U = number2 . D = number3 . K = number4 . ( D + K ) / C - T = G . G ?,- / + number3 number4 number0 number1,17.0,2 16 65 32 34
G = number0 . P = number1 . G / P + F = number2 . F ?,- number2 / number0 number1,29,706 353 31.0
G = number0 . N = number1 . G - N = D . D ?,- number0 number1,18,85 67
S = number0 . W = number1 . U = number2 . R = number3 . H = number4 . ( W - H ) * E = number5 . E ?,/ number5 - number1 number4,12,522 235 342 774 200 420
G = number0 . N = number1 . D = number2 . Z = number3 . L = number4 . N - I - number5 = L . I ?,- number1 + number4 number5,272,10 534 836 256 116 146
Y = number0 . M = number1 . N = number2 . Z = number3 . ( M * G + Z ) * N = Y . G ?,/ - / number0 number2 number3 number1,6,3848 73 2 1486
E = number0 . B = number1 . D = number2 . ( D + number3 ) * S + E = B . S ?,/ - number1 number0 + number2 number3,75,234 7884 34 68
O = number0 . R = number1 . I = number2 . O - I - number3 - J = number4 . J ?,- - - number0 number2 number3 number4,86,368 845 49 22 211
B = number0 . V = number1 . B / T * number2 = V . T ?,/ number0 / number1 number2,292,1168 292.0 73
U = number0 . P = number1 . I = number2 . X = number3 . ( C - I ) / X + U = number4 . C ?,+ * - number4 number0 number3 number2,1243,448 973 68 25 495.0
Y = number0 . L = number1 . number2 / R - Y = number3 . R ?,/ number2 + number3 number0,2,8 78 58 21.0
C = number0 . S = number1 . M = number2 . B = number3 . L = number4 . B / M + L + O = C . O ?,- number0 + / number3 number2 number4,97,608.0 459 32 320 501
U = number0 . K = number1 . I * U - number2 + number3 = K . I ?,/ + - number1 number3 number2 number0,65,44 2902 3 45
Q = number0 . X = number1 . T = number2 . Y = number3 . X / Y - number4 + K = number5 . K ?,- number5 - / number1 number3 number4,1665,767 128 928 2 292 1437.0
